"","code","name","native_name"
"aa","aa","Afar","Afar"
"ab","ab","Abkhazian","Abkhazian"
"af","af","Afrikaans","Afrikaans"
"am","am","Amharic","አማርኛ"
"ar","ar","Arabic","العربية"
"as","as","Assamese","অসমীয়া"
"ay","ay","Aymara","Aymara"
"az","az","Azerbaijani","azərbaycan"
"ba","ba","Bashkir","Bashkir"
"be","be","Byelorussian","беларуская"
"bg","bg","Bulgarian","български"
"bh","bh","Bihari","Bihari"
"bi","bi","Bislama","Bislama"
"bn","bn","Bengali","বাংলা"
"bo","bo","Tibetan","བོད་སྐད་"
"br","br","Breton","brezhoneg"
"ca","ca","Catalan","català"
"co","co","Corsican","Corsican"
"cs","cs","Czech","čeština"
"cy","cy","Welsh","Cymraeg"
"da","da","Danish","dansk"
"de","de","German","Deutsch"
"dz","dz","Bhutani","རྫོང་ཁ"
"el","el","Greek","Ελληνικά"
"en","en","English","English"
"eo","eo","Esperanto","esperanto"
"es","es","Spanish","español"
"et","et","Estonian","eesti"
"eu","eu","Basque","euskara"
"fa","fa","Persian","فارسی"
"fi","fi","Finnish","suomi"
"fj","fj","Fiji","Fiji"
"fo","fo","Faroese","føroyskt"
"fr","fr","French","français"
"fy","fy","Frisian","Frysk"
"ga","ga","Irish","Gaeilge"
"gd","gd","Scots Gaelic","Gàidhlig"
"gl","gl","Galician","galego"
"gn","gn","Guarani","Guarani"
"gu","gu","Gujarati","ગુજરાતી"
"gv","gv","Manx Gaelic","Gaelg"
"ha","ha","Hausa","Hausa"
"he","he","Hebrew","עברית"
"hi","hi","Hindi","हिन्दी"
"hr","hr","Croatian","hrvatski"
"hu","hu","Hungarian","magyar"
"hy","hy","Armenian","հայերեն"
"ia","ia","Interlingua","Interlingua"
"id","id","Indonesian","Indonesia"
"ie","ie","Interlingue","Interlingue"
"ik","ik","Inupiak","Inupiak"
"is","is","Icelandic","íslenska"
"it","it","Italian","italiano"
"iu","iu","Inuktitut","Inuktitut"
"ja","ja","Japanese","日本語"
"jv","jv","Javanese","Javanese"
"ka","ka","Georgian","ქართული"
"kk","kk","Kazakh","қазақ тілі"
"kl","kl","Greenlandic","kalaallisut"
"km","km","Cambodian","ខ្មែរ"
"kn","kn","Kannada","ಕನ್ನಡ"
"ko","ko","Korean","한국어"
"ks","ks","Kashmiri","کٲشُر"
"ku","ku","Kurdish","Kurdish"
"kw","kw","Cornish","kernewek"
"ky","ky","Kirghiz","кыргызча"
"la","la","Latin","Latin"
"lb","lb","Luxembourgish","Lëtzebuergesch"
"ln","ln","Lingala","lingála"
"lo","lo","Laothian","ລາວ"
"lt","lt","Lithuanian","lietuvių"
"lv","lv","Latvian","latviešu"
"mg","mg","Malagasy","Malagasy"
"mi","mi","Maori","Maori"
"mk","mk","Macedonian","македонски"
"ml","ml","Malayalam","മലയാളം"
"mn","mn","Mongolian","монгол"
"mo","mo","Moldavian","Moldavian"
"mr","mr","Marathi","मराठी"
"ms","ms","Malay","Melayu"
"mt","mt","Maltese","Malti"
"my","my","Burmese","မြန်မာ"
"na","na","Nauru","Nauru"
"ne","ne","Nepali","नेपाली"
"nl","nl","Dutch","Nederlands"
"no","no","Norwegian","Norwegian"
"oc","oc","Occitan","Occitan"
"om","om","(Afan) Oromo","Oromoo"
"or","or","Oriya","ଓଡ଼ିଆ"
"pa","pa","Punjabi","ਪੰਜਾਬੀ"
"pl","pl","Polish","polski"
"ps","ps","Pashto, Pushto","پښتو"
"pt","pt","Portuguese","português"
"qu","qu","Quechua","Runasimi"
"rm","rm","Rhaeto-Romance","rumantsch"
"rn","rn","Kirundi","Ikirundi"
"ro","ro","Romanian","română"
"ru","ru","Russian","русский"
"rw","rw","Kinyarwanda","Kinyarwanda"
"sa","sa","Sanskrit","Sanskrit"
"sd","sd","Sindhi","سنڌي"
"se","se","Northern Sámi","davvisámegiella"
"sg","sg","Sangho","Sängö"
"sh","sh","Serbo-Croatian","Serbo-Croatian"
"si","si","Sinhalese","සිංහල"
"sk","sk","Slovak","slovenčina"
"sl","sl","Slovenian","slovenščina"
"sm","sm","Samoan","Samoan"
"sn","sn","Shona","chiShona"
"so","so","Somali","Soomaali"
"sq","sq","Albanian","shqip"
"sr","sr","Serbian","српски"
"ss","ss","Siswati","Siswati"
"st","st","Sesotho","Sesotho"
"su","su","Sundanese","Sundanese"
"sv","sv","Swedish","svenska"
"sw","sw","Swahili","Kiswahili"
"ta","ta","Tamil","தமிழ்"
"te","te","Telugu","తెలుగు"
"tg","tg","Tajik","тоҷикӣ"
"th","th","Thai","ไทย"
"ti","ti","Tigrinya","ትግርኛ"
"tk","tk","Turkmen","Türkmen dili"
"tl","tl","Tagalog","Tagalog"
"tn","tn","Setswana","Setswana"
"to","to","Tonga","lea fakatonga"
"tr","tr","Turkish","Türkçe"
"ts","ts","Tsonga","Tsonga"
"tt","tt","Tatar","татар"
"tw","tw","Twi","Twi"
"ug","ug","Uigur","ئۇيغۇرچە"
"uk","uk","Ukrainian","українська"
"ur","ur","Urdu","اردو"
"uz","uz","Uzbek","o‘zbek"
"vi","vi","Vietnamese","Tiếng Việt"
"vo","vo","Volapük","vo"
"wo","wo","Wolof","Wolof"
"xh","xh","Xhosa","Xhosa"
"yi","yi","Yiddish","ייִדיש"
"yo","yo","Yoruba","Èdè Yorùbá"
"za","za","Zhuang","Zhuang"
"zh","zh","Chinese","中文"
"zu","zu","Zulu","isiZulu"
